name_en,name_ar,aliases,category,calories_per_100g,protein_grams_per_100g,carbohydrate_grams_per_100g,fat_grams_per_100g,created_by_user_id,source,external_source_id,source_version,is_active,archived_at
"Beverages, Lemonade, powder",,,BEVERAGES,376.0,0.0,97.57,1.05,,USDA_FDC_SR_LEGACY,14287,2018-04,True,
"Beverages, MINUTE MAID, Lemonada, Limeade",,,BEVERAGES,50.0,0.0,13.75,0.0,,USDA_FDC_SR_LEGACY,14095,2018-04,True,
"Beverages, MONSTER energy drink, low carb",,,BEVERAGES,5.0,0.0,1.38,0.0,,USDA_FDC_SR_LEGACY,14022,2018-04,True,
"Beverages, MOTTS, Apple juice light, fortified with vitamin C",,,BEVERAGES,22.0,0.0,5.1,0.1,,USDA_FDC_SR_LEGACY,14286,2018-04,True,
"Beverages, Malt liquor beverage",,,BEVERAGES,40.0,0.35,0.0,0.0,,USDA_FDC_SR_LEGACY,14252,2018-04,True,
"Beverages, Malted drink mix, chocolate, powder, prepared with whole milk",,,BEVERAGES,85.0,3.37,11.2,3.29,,USDA_FDC_SR_LEGACY,14318,2018-04,True,
"Beverages, Malted drink mix, chocolate, with added nutrients, powder, prepared with whole milk",,,BEVERAGES,87.0,3.29,11.19,3.26,,USDA_FDC_SR_LEGACY,14316,2018-04,True,
"Beverages, Malted drink mix, natural, powder, dairy based.",,,BEVERAGES,428.0,14.29,71.21,9.52,,USDA_FDC_SR_LEGACY,14311,2018-04,True,
"Beverages, Malted drink mix, natural, powder, prepared with whole milk",,,BEVERAGES,88.0,3.86,10.23,3.62,,USDA_FDC_SR_LEGACY,14312,2018-04,True,
"Beverages, Malted drink mix, natural, with added nutrients, powder, prepared with whole milk",,,BEVERAGES,86.0,3.67,10.67,3.21,,USDA_FDC_SR_LEGACY,14310,2018-04,True,
"Beverages, Meal supplement drink, canned, peanut flavor",,,BEVERAGES,101.0,3.5,14.74,3.07,,USDA_FDC_SR_LEGACY,14632,2018-04,True,
"Beverages, Mixed vegetable and fruit juice drink, with added nutrients",,,BEVERAGES,29.0,0.04,7.47,0.01,,USDA_FDC_SR_LEGACY,14119,2018-04,True,
"Beverages, NESTEA, tea, black, ready-to-drink, lemon",,,BEVERAGES,36.0,0.0,9.09,0.0,,USDA_FDC_SR_LEGACY,14137,2018-04,True,
"Beverages, NESTLE, Boost plus, nutritional drink, ready-to-drink",,,BEVERAGES,138.0,5.38,17.29,5.38,,USDA_FDC_SR_LEGACY,14041,2018-04,True,
"Beverages, OCEAN SPRAY, Cran Cherry",,,BEVERAGES,46.0,0.19,12.76,0.0,,USDA_FDC_SR_LEGACY,14256,2018-04,True,
"Beverages, OCEAN SPRAY, Cran Grape",,,BEVERAGES,54.0,0.21,13.16,0.0,,USDA_FDC_SR_LEGACY,14217,2018-04,True,
"Beverages, OCEAN SPRAY, Cran Lemonade",,,BEVERAGES,45.0,0.07,11.12,0.0,,USDA_FDC_SR_LEGACY,14234,2018-04,True,
